ticker,name,bucket,bucket_name,search_tier,training_enabled,priority,reason,fold_count,raw_pr_auc_mean,raw_pr_auc_std,raw_pr_auc_min,raw_roc_auc_mean,balanced_accuracy_mean,top_10pct_precision_mean
086790,하나금융지주,finance,금융,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,4.0,0.4775931171009982,0.4503373471258643,0.0446469944119285,0.6667149170274169,0.4981398809523809,0.4166666666666666
316140,우리금융지주,finance,금융,deferred_no_feasible_model,False,0,no feasible independent outer-fold model under current label/split rules,,,,,,,
024110,기업은행,finance,금융,deferred_no_feasible_model,False,0,no feasible independent outer-fold model under current label/split rules,,,,,,,
138930,BNK금융지주,finance,금융,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,3.0,0.4457627060363989,0.3893846153604254,0.0533459595959595,0.6499341695742623,0.6760549248939342,0.3888888888888889
012450,한화에어로스페이스,defense_nuclear,방산·원전,middle_search,True,200,usable but not robust; focused search,5.0,0.4851487498606605,0.1289739226952266,0.3346734633147811,0.5457926651193803,0.5162001402852467,0.4333333333333333
079550,LIG넥스원,defense_nuclear,방산·원전,strong_lock,False,0,robust Meta-OOS performance; preserve current model,5.0,0.6177935863375394,0.0675893215705228,0.5575272556451989,0.6774129497177035,0.6201895727362621,0.725
047810,한국항공우주,defense_nuclear,방산·원전,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,5.0,0.2415066312991073,0.1823851745942857,0.0381677284979171,0.5981194087807997,0.5490530109566562,0.15
272210,한화시스템,defense_nuclear,방산·원전,middle_search,True,200,usable but not robust; focused search,5.0,0.3752936576130578,0.1364067191566695,0.1690040355578757,0.5610243192102986,0.546955351821685,0.3
034020,두산에너빌리티,defense_nuclear,방산·원전,middle_search,True,200,usable but not robust; focused search,5.0,0.3797491572406826,0.1934798106254619,0.1316817922196101,0.5589037007228255,0.5153977856824674,0.3833333333333334
052690,한전기술,defense_nuclear,방산·원전,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,5.0,0.3211028882259076,0.0942860509055225,0.2085400133546062,0.5383720166530541,0.5108939494232763,0.2833333333333333
329180,HD현대중공업,shipbuilding,조선·해양,middle_search,True,200,usable but not robust; focused search,4.0,0.5249508999787418,0.2595460995308731,0.1449934317182409,0.6438616206734558,0.6329970204637757,0.4166666666666666
009540,HD한국조선해양,shipbuilding,조선·해양,middle_search,True,200,usable but not robust; focused search,5.0,0.4049484740631681,0.2734122819314717,0.1448623957858547,0.6326125049732112,0.5390600296095085,0.38
010140,삼성중공업,shipbuilding,조선·해양,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,4.0,0.2943677977854558,0.2661898612235358,0.0974727070611144,0.6261493998142074,0.5397701503402916,0.2291666666666666
042660,한화오션,shipbuilding,조선·해양,weak_priority,True,300,weak or unstable Meta-OOS performance; broad search,5.0,0.2865871195062298,0.1369763098194859,0.1718995110752064,0.5071672436165333,0.5067745938432485,0.2333333333333333
267250,HD현대,shipbuilding,조선·해양,middle_search,True,200,usable but not robust; focused search,3.0,0.502409683188642,0.245384346341329,0.2192724689662748,0.6412389198103484,0.5636466707895279,0.5555555555555556
443060,HD현대마린솔루션,shipbuilding,조선·해양,deferred_no_feasible_model,False,0,no feasible independent outer-fold model under current label/split rules,,,,,,,
